,name,view,architecture,_runtime,_timestamp,valid_loss,lr_finder_lr,lr_0,wd_0,eps_0,sqr_mom_0,total_runtime,combined_bestf1_time,epoch,mom_0,_wandb,best_f1,accuracy,f1_score,raw_loss,image_size,train_loss,_step,combined_f1_time,train_samples_per_sec
10,legendary-sweep-22,encoded1234,resnet34,142.93583250045776,1660567694.2391615,0.05801481008529663,0.001737800776027143,2.129531265194183e-08,0.01,1e-05,0.99,130.5150414542295,0.96135687410862,15,0.9499997745803708,{'runtime': 142},0.9657073754904276,0.9875776171684264,0.9657073754904276,0.02129783108830452,"[140, 170]",0.004186275880783796,1394,0.96135687410862,1372.4444789555346
11,legendary-sweep-21,merged,resnet34,284.54450726509094,1660567250.0440333,0.04924818128347397,0.0002754228771664202,3.3750797914376862e-09,0.01,1e-05,0.99,264.57631960324943,0.9607384117120608,15,0.9499997745803708,{'runtime': 283},0.9695576223655024,0.9875776171684264,0.9695576223655024,0.00099153199698776,"[280, 340]",0.001138109597377479,1394,0.9607384117120608,451.53092809675945
12,ruby-sweep-20,single4,resnet34,120.99535036087036,1660566519.5466344,0.08813212811946869,0.0003981071640737355,4.878474359616518e-09,0.01,1e-05,0.99,111.44552602386102,0.954802086903632,15,0.9499997745803708,{'runtime': 120},0.958516937771094,0.9774844646453856,0.9456930196824732,0.0009064535843208432,"[140, 170]",0.0011370567372068765,1394,0.9419781688150112,1367.5029811573093
13,sandy-sweep-19,single3,resnet34,133.43734121322632,1660565941.9436152,0.05849897488951683,0.0014454397605732083,1.7712669970939426e-08,0.01,1e-05,0.99,122.41678756009787,0.938535574380821,15,0.9499997745803708,{'runtime': 132},0.9426161339661576,0.9821428656578064,0.9403949963342266,0.03745230287313461,"[140, 170]",0.004306974820792675,1394,0.93631443674889,1370.963073002015
14,glowing-sweep-18,single2,resnet34,126.9908447265625,1660565368.5722296,0.08115716278553009,0.0014454397605732083,1.7712669970939426e-08,0.01,1e-05,0.99,117.44445499125868,0.9540153787992626,15,0.9499997745803708,{'runtime': 126},0.9579301939656378,0.9821428656578064,0.9362449615284436,0.004357154946774244,"[140, 170]",0.004770675674080849,1394,0.9323301463620683,1276.21914628739
15,fallen-sweep-17,single1,resnet34,118.03329372406006,1660564819.7398198,0.10685274749994278,0.0008317637839354575,1.0192577927069927e-08,0.01,1e-05,0.99,108.46242412505671,0.9418879061155556,15,0.9499997745803708,{'runtime': 117},0.9455033202530576,0.9751552939414978,0.9455033202530576,0.001299806870520115,"[140, 170]",0.010878694243729116,1394,0.9418879061155556,1301.661255667737
16,earnest-sweep-16,encoded34,resnet18,108.68986105918884,1660564240.117537,0.0561477355659008,0.0012022644514217973,1.4732757480998004e-08,0.01,1e-05,0.99,100.51210349192844,0.9706459593949592,15,0.9499997745803708,{'runtime': 108},0.97399636284469,0.9860248565673828,0.9671712318315452,0.0006609723204746842,"[140, 170]",0.001363659859634936,1394,0.9638208283818144,2332.4122317489137
17,misunderstood-sweep-15,encoded23,resnet18,101.68492317199708,1660563641.5104392,0.0681966245174408,0.0014454397605732083,1.7712669970939426e-08,0.01,1e-05,0.99,93.36192105710506,0.9592426352024496,15,0.9499997745803708,{'runtime': 100},0.9623546992376862,0.98369562625885,0.960204063424356,0.001577800838276744,"[140, 170]",0.002338628051802516,1394,0.9570919993891192,2278.3750107835726
18,sleek-sweep-14,encoded24,resnet18,99.55419945716858,1660563057.7622275,0.07201363891363144,0.0012022644514217973,1.4732757480998004e-08,0.01,1e-05,0.99,91.49467023089528,0.9559605847801502,15,0.9499997745803708,{'runtime': 99},0.95901040712118,0.98369562625885,0.95901040712118,0.002452801913022995,"[140, 170]",0.0013878460740670562,1394,0.9559605847801502,1850.78121057095
19,neat-sweep-13,encoded12,resnet18,119.09729313850404,1660562516.6435022,0.08455628901720047,0.0008317637839354575,1.0192577927069927e-08,0.01,1e-05,0.99,111.01945772999898,0.9416842170487504,15,0.9499997745803708,{'runtime': 118},0.9453848656397504,0.9813664555549622,0.9446455822019272,0.0004513679596129805,"[140, 170]",0.0011767258401960137,1394,0.9409449336109272,2283.6340529648955
